Inference Count,Inference Time (ms),End-to-End Time (ms),FPS
818,631.263,715.459,1.584125792
819,631.244,715.44,1.584173473
820,631.305,715.471,1.584020402
821,631.294,715.46,1.584048003
822,631.294,715.49,1.584048003
823,631.263,715.46,1.584125792
824,631.293,715.459,1.584050512
825,631.274,715.44,1.584098189
826,631.274,715.471,1.584098189
827,631.275,715.49,1.584095679
828,631.263,715.429,1.584125792
829,631.294,715.46,1.584048003
830,631.294,715.46,1.584048003
831,631.293,715.49,1.584050512
832,631.275,715.44,1.584095679
833,631.275,715.44,1.584095679
834,631.245,715.429,1.584170964
835,631.294,715.49,1.584048003
836,631.263,715.46,1.584125792
837,631.324,715.49,1.58397273
838,631.293,715.459,1.584050512
839,631.274,715.44,1.584098189
840,631.244,715.44,1.584173473
841,631.244,715.46,1.584173473
842,631.324,715.49,1.58397273
843,631.324,715.49,1.58397273
844,631.263,715.429,1.584125792
845,631.263,715.917,1.584125792
846,631.244,715.654,1.584173473
847,631.244,715.623,1.584173473
848,631.244,715.642,1.584173473
849,631.263,715.643,1.584125792
850,631.263,715.612,1.584125792
851,631.294,715.643,1.584048003
852,631.202,715.154,1.584278884
853,631.244,717.119,1.584173473
854,631.274,716.996,1.584098189
855,631.183,716.1,1.584326574
856,631.263,715.642,1.584125792
857,631.294,715.674,1.584048003
858,631.264,715.612,1.584123283
859,631.263,715.643,1.584125792
860,631.275,715.654,1.584095679
861,631.275,715.624,1.584095679
